ruta_base	tratamiento	nivel_revision	motivo	lineas_base	sha256_base
.omo/evidence/sprint7/final-qa/qa-report.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	103	59916e6c5de2bf60719d567e17a0215ee5b3fbb84fbb6ec8d3998d16be2b9773
.omo/evidence/sprint7/task1-icons-build-config.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	41	1e70a1126ca4517553d4aedfdc2eaf511fa4ff2249282b6e1cc08951eec17e96
.omo/evidence/sprint7/task10-build-success.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	4	470246e6ff3a04c53cd00c07df8da3d41e8c2672e147bcc2c40e5f9897e8de99
.omo/evidence/sprint7/task2-ipc-handlers.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	8	a79b2fd7fec370927aca13c0e769810fac9f64844407dc1006c9255e57bf9b4c
.omo/evidence/sprint7/task3-autoupdater-cleanup.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	13	5c26283bb2f7b0a3cec65de9e8a415d6062d96382704e2c867cd51939ea3b3f3
.omo/evidence/sprint8/README.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	26	219f08752720d595ed63845f6c54d5a6a870a3b864871727173484da07c4f304
.omo/evidence/sprint8/final-qa/qa-report.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	78	fff624c079d8959472a628e7a54d3ff83615f1e96ce8d5986519c182f51c0c47
.omo/evidence/sprint8/sim-smoke/adapter-check.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	18	bf3a64dde1771831c14c8f491910bdb48cb3fe9b273e2eeee550080a25fc8a9e
.omo/evidence/sprint8/sim-smoke/conclusion.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	26	04ffea039f753a03f280db3f71f62b9fb6dbef28da48425b8a2b400b55fad173
.omo/evidence/sprint8/sim-smoke/ipc-handler.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	19	42102741adbfd75cead8a2dae4f9dec013fa39c64dd4faaf78c18ef1622fc11c
.omo/evidence/sprint8/task1-bug-fixes-license-version.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	17	0a9c58b5dcf039608c166e7a1f0423cd5a5551837af1d5e5c0759b9cf17eb7cc
.omo/evidence/sprint8/task1-bug-fixes.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	9	4e709e8e8d00de7f602ed061cdbae02ebf38513dec3aac8be8abde0ac6f3ad7b
.omo/evidence/sprint8/task10-release.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	46	99c70268aefc91769933945fcbeb843fcde05120e50b74f59af5314c5670f68e
.omo/evidence/sprint8/task3-license-version.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	8	742d8098591e86e35f386d0e372d609c2bbb76cbed97c6311cf8ec6cb63156b2
.omo/evidence/task-1-routing-smoke.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	24	b688fa7ff012ea8fead5ecee24fd04ced73f9ae83fe534ab68129e7dc919b869
.omo/evidence/task-2-discriminated-union.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	39	4ef5b5d6683002ea3081ad533366b0711920d39b4a32ffe2d7f32065244cf14f
.omo/evidence/task-2-invalid-schema.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	21	d90a7c221df394341be305805e4c431151bfa851799e9dd36e52df12b549adb5
.omo/evidence/task-2-valid-schema.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	46	6272795ed8597420dbfa750845eb473e6df2440702b2e80984d4ab7277a2b16f
.omo/evidence/v2-alpha-0.1-release-prep.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	34	33e8e16fd97c7a61622e3d04c41e52d087f68b38be5de50238ecd3678a75d66b
.omo/evidence/v2-f4-smoke.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	28	939228c43951e7919fd69176144eac3ed0ea7f375da6614b456d40344368073d
.omo/evidence/v2-f5-hub.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	36	7286dc8df1e082be03f407cdc87a4b27f0bc7ee2c8e5c6981d644f4566e24d97
.omo/evidence/v2-f6-obs-sse.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	47	76c60b4e37f79e5480d1066069123d68d61e3404224a9ac4c956545783f4f249
.omo/evidence/v2-f7-widget-fps.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	71	e56270705b1c537866f672c45675f59ad869879c5e2fc4cac59234cefbcaa499
.omo/evidence/v2-f8-themes.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	62	21a493c7699eb2d6d61b2394bf8786cd5968b262618a86573befd240b032bf15
.omo/evidence/v2-f9-ops-multisim.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	37	00ac1b40b94de25a1b99ff8498768587e8667b0d8e75a71c0675798a9b581f5d
.omo/evidence/v2-hub-preview-editor.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	15	c71ed5f202a26ec551bc454a453585f810c4302f82e8cb5498f3129b2b447c48
.omo/evidence/v2-lmu-data-sources-standings-relative-delta.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	50	bf403b3652841090fc43117310899f00a134dd6fa32a63c97719dab4016d6101
.omo/evidence/v2-lmu-review-bugfixes.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	48	ee3a4d02e55842a14417de6213d773d5e796b5606bdeda2a7349602bfe27f708
.omo/evidence/v2-mvp-closeout.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	23	c80d975614f9eda57c0c11cca5808a6ac1e8b51293ab7cdd08b9d6aaa9f3d64e
.omo/evidence/v2-mvp-manual-checklist.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	59	37173ef91c4a7bc1b241475418ca814730285424b80413d7d48c802ccbe94f17
.omo/evidence/v2-overlay-lifecycle.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	16	fd71a267721d09b8df3e8d0274f47b419aa7ee2932a876ad1fe6b12ed3f78b86
.omo/evidence/v2-preview-profile-workbench.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	52	f5fc22baa11c407fcc79b0353723ca21270aec3d331b6005d939a9d65f060373
.omo/evidence/v2-visual-widget-design-system.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	38	0a57890e22e3e607b7052445ff9d816916a7d0ee70d73b65ca3790d74fc67b7b
.omo/notepads/sprint2-telemetry-pipeline/learnings.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	26	8ee1ea4862bc5e7c94b0527d040ecb0f56d3923bd9aab5a731a1cf7c68a45530
.omo/notepads/sprint3-core-overlays/learnings.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	373	3c9c54005453e58a3c522f79272d69175d918331d033acb802260034c6ed18f0
.omo/notepads/sprint4a-overlays-and-bundles/learnings.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	48	ea3488eedcefad3a210d6a1a4228bab2c14226b89660d1c06b96d77de8a71c4a
.omo/notepads/sprint5a-multi-sim/learnings.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	241	e299c46741e4b16c4f0d48c076aff3c95370752e9cf1c2a41b584f1754c05bb9
.omo/plans/dashboard-redesign.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	879	eae80225fc229ae51376dfd74aac6cef5b7031e328ca3965d9320ba4ab0175c9
.omo/plans/f1-theme-redesign.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	818	11b8e06defc28df5e7b602d27cc0ec1e80a72e07f9d971927da9d2195d1fa5e5
.omo/plans/sprint2-telemetry-pipeline.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	959	c9e8973184c876a0ad1d91b1b150557e2c120f762585db73cce10990d9765162
.omo/plans/sprint3-core-overlays.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	986	17fa532082a0321da0d5a1a6295d4f6e9fff8ad744fdb03f7cbe630429d95bd0
.omo/plans/sprint4a-overlays-and-bundles.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	985	db62bd18570ac86d8af18448f4fd2569375fd04d2a6108b13bd8b75895a0cd84
.omo/plans/sprint4b-hub-ui.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	1067	75e63cc39bbd0a68ec0dcdeb5ed91792771e02618c6531e0c4a1c4c00304aa33
.omo/plans/sprint5a-multi-sim.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	1150	2d0ca57be8945c6eb824d0fa8bbe976d4441053ca39a0f4655d8e43371b5fc1d
.omo/plans/sprint5b-lmu-adapter.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	1354	1ecfe4af14145134611da83658fb5f9513e554b1ac3976355fe14d0d7b6206a8
.omo/plans/sprint6-themes-auth.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	1349	fc00a651a03fad7a601623c358f20aa3c7a11933cffeff10ab3f6331a112ecea
.omo/plans/sprint7-polish-distribution.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	1113	c17cc279d2a710ac0c08398e7e3ef3e77fb48a36aecf1c87f55330bc6cc5d0d4
.omo/plans/sprint8-testing-release.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	555	8c875a163809bee05f6c31341650cfc0e97e93058b80e6ef764aec5b9202c5f9
.omo/plans/v2-alpha-0.1-release-prep.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	53	1cccd4e3cf27142e118c0b8b6a0a8087c1193b18b88cacbcda85a87ec68ed74e
.omo/plans/v2-alpha-live-data-preview-fixes.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	44	045174bc7a0fe12e9001980109dbc014236d2e553974a9dc3ec20a203e8b3ed6
.omo/plans/v2-design-hub-v5-reference.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	28	f579bbd0fb09b0d30d5573b06d9d66e0bb00a0cdaaf5927ac00fba3946b5f439
.omo/plans/v2-f2-broadcaster.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	6	de03e504306ca35f000fa2d0aba6e4236b59134996c55c0ceb17089439bf6767
.omo/plans/v2-f2-deadband-pipeline.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	6	435a48db3c02947564a3163105c0a7633def35b1832fd2178bd5609f9276348a
.omo/plans/v2-f2-normalizer.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	6	047162c36c792faacf04c62e96863f1ba39d7df7e9519032e593d1566ef9020f
.omo/plans/v2-f3-wails-scaffold.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	8	a60e69672623d7ea0610f5e3c317a66f9b2632d691a7d6b5e97973d1cc79e8a7
.omo/plans/v2-f4-composite-layout.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	14	c94c06d9b1c04f97ccdbc3771b6949ce02de8373c192348c17cca14c846d31bd
.omo/plans/v2-f5-hub-dashboard.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	10	fac0f83a762ae1765dfbe2a8370b20e1987df2094e82eb4f84ec91c56048ee27
.omo/plans/v2-f6-obs-sse.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	404	2aad79287cf6e9af4f775465517018d81afde4949a926a0eaa31b78689d868b0
.omo/plans/v2-f7-post-review-fixes.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	356	a7edb0712618e6f13720e06b82c7e8c6ea7e87381d37ad3147e52d3136a0824b
.omo/plans/v2-f7-widget-fps.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	631	1b1321b054ef69832ceedeecaee243947f291961761ff835ae3c74368f0af8ce
.omo/plans/v2-f8-themes.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	706	93fe22cfba84c9ed2de0a17a4f976c2b560e9136cd9b8a3ad30229c61b7f0f55
.omo/plans/v2-f9-ops-multisim.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	911	bff9ad40b1895a25a777984bd93b8b14cfdd54768308b1e44bcaa46ee087e50e
.omo/plans/v2-lmu-data-sources-standings-relative-delta.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	1640	074248d530438c1d899ff31cf6da58e5d572c3a7dd33994e1e77812a61be2b6b
.omo/plans/v2-lmu-review-bugfixes.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	45	854dd7b85b63833cdd607ac0786560a96da01c41f4d402e02c738d49d60a9153
.omo/plans/v2-manual-real-validation.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	675	cd278213b672370d11e6cc1942e3f9e513eb84200b51639e3418b8b984fe9a48
.omo/plans/v2-mvp-validation-closeout.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	534	2ec18edd5a6500d619d58af1cbe716f0645f1f42505f243a3300f3b2dcb6f576
.omo/plans/v2-overlay-lifecycle-preview-editor-megaplan.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	2194	df69e535b50fb9325de711405619142ccfa7b71ed7d6687b9f20e2957920e1a5
.omo/plans/v2-preview-profile-workbench.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	1162	cfedf592d1feae9514af4d63b2c40110c24c14916425ac6aa828f6ddd2f974cf
.omo/plans/v2-visual-widget-design-system.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	2489	26ff643ae4b85448393fce134f5712d687b0bc841da64c77fb6ba2426ec50b87
.omo/plans/vantare-foundation-sprint.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	1183	e0458c2fdbb5c5721ef75847f047a9535e80e14be4403e8c58a93d19af33343b
.omo/plans/vantare-overlays-mvp.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	1221	b84d5883651affa3d23a394ef788c1f63d157f078c59f3461ddb105f44f3be4e
.omo/sprint-foundation-complete.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	36	5c18bd03c777b702618081e846aae023c98d71de4eebf87970a37c450a4e31fb
.sisyphus/docs/onboarding-frontend.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	237	10352cdf11f2c72469214142b094732a7708c4d42baad2c57d9bc167b5afd3e2
.sisyphus/drafts/vantare-architecture.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	113	ba0c0576d5813df98894abe57e4236392a8edcf16d94f892cfac7a353f2992d5
.sisyphus/notepads/sprint2-telemetry-pipeline/learnings.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	46	ae6e4efdb81cab427e8261e45e45f3c0a2634b2ea5ac7893d3faa13abdca3ab7
